PAC,long,lat
3823577938424261,-38.42320999974163,-3.8226431002988193
3823542638424463,-38.42446299996743,-3.823542600410633
3823543938424456F,-38.424455999644636,-3.8235438999309963
3823589238454806F,-38.45480599989696,-3.8235891996817486
3823713138455197,-38.45519699994156,-3.8237131001793614
3823581238454808,-38.45480799998916,-3.8235812002121747
3809654338436234F,-38.43623399959938,-3.809654299905958
3807910538448917,-38.44891699991956,-3.807910500069454
3807910538448917,-38.449015999988376,-3.8071782999385277
3807910538448917,-38.44905499998822,-3.806825500396485
3829701338457121,-38.456724000212375,-3.8299245997404228
3809476338437584,-38.437205000310485,-3.809530799606648
3809476338437584,-38.436555000013186,-3.809624300321161
3809476338437584,-38.436235999691576,-3.8096659002610522
3809665938436236,-38.43623399959938,-3.809654299905958
3811641038424163,-38.42407800019953,-3.8118089001605426
3805723138449467,-38.44933200017164,-3.805853499639227
3805723138449467,-38.44908999980362,-3.8064735003517285
3807260938459244F,-38.45924400041025,-3.8072608999705153
3807286538459331,-38.45933099992567,-3.807286500071882
3807286538459331,-38.459242000318,-3.807267199721423
3807267238459242,-38.45924400041025,-3.8072608999705153
3807497938460402,-38.460215000222036,-3.807465400407864
3791380538472620,-38.472714000150916,-3.791353199690377
3791323838473578F,-38.47349800033243,-3.791341500409885
3791353238472714,-38.473466999802156,-3.7913829996256823
3811234138456911,-38.45704199958857,-3.8115308999310287
3811234138456911,-38.45756999965573,-3.8112855001256776
3811234138456911,-38.458245000206546,-3.810951500011697
3811234138456911,-38.45881799965093,-3.810675499874378
3814281538427811F,-38.42781099967783,-3.8142814997913206
3814297338428399,-38.428398999813965,-3.8142972999803533
3814333138428993,-38.42899300022674,-3.814333100192357
3813811638429754,-38.429754000246874,-3.8138116004249696
3813778538430014,-38.43001399964635,-3.8137784999777296
3813686638430573,-38.430573000243726,-3.813686600056485
3813340338431233,-38.43123300010285,-3.8133402999148416
3813227338431471,-38.431471000286365,-3.8132273000997543
3812623438431398,-38.43139799961796,-3.8126233999499277
3812895638431427,-38.431427000055976,-3.8128955995522347
3813227338431422,-38.431421999825375,-3.8132273000997543
3813523838430877,-38.43087699987359,-3.8135238002831215
3813769438429768,-38.429767999993146,-3.8137693997379642
3814355238429571,-38.42957099990167,-3.814355200132354
3814355238429571,-38.42899300022674,-3.814333100192357
